time;x-coordinate of end of beam;y-coordinate of end of beam
0.0;-1.82183183140948e-08;-9.983880725469574e-05
0.01;-3.103634761429412e-07;-0.00039710317971543583
0.02;-1.937226817419237e-06;-0.0008812691063376134
0.03;-6.894794232426801e-06;-0.0015440079014470128
0.04;-1.706600949691917e-05;-0.0024431823527488548
0.05;-3.306952415909759e-05;-0.00374499014648888
0.060000000000000005;-5.713564279156569e-05;-0.005579316847285543
0.07;-9.710199108106282e-05;-0.007881042231680655
0.08;-0.0001631495644240863;-0.010543558214442637
0.09;-0.0002692872155007459;-0.013562780894038848
0.09999999999999999;-0.00043084022222877676;-0.01689455022047223
0.10999999999999999;-0.0006564981612355252;-0.020473862010977912
0.11999999999999998;-0.0009503319021638719;-0.024301792358902487
0.12999999999999998;-0.001306986077263465;-0.02829807176156698
0.13999999999999999;-0.001715543825933141;-0.032316138800682764
0.15;-0.002163955131485848;-0.036250278009114616
0.16;-0.002640311302016341;-0.04008475794510439
0.17;-0.003156172571226519;-0.043953000859196345
0.18000000000000002;-0.003730552178643295;-0.047940793149995733
0.19000000000000003;-0.004367018314545532;-0.05201132018796572
0.20000000000000004;-0.005074344325318198;-0.05617234906929844
0.21000000000000005;-0.005871534999046333;-0.06044203976714396
0.22000000000000006;-0.006776060952579435;-0.06480874590766013
0.23000000000000007;-0.007796125685565482;-0.06928676282626457
0.24000000000000007;-0.008942462771451077;-0.07394300263488864
0.25000000000000006;-0.010215022342369541;-0.07874512493666583
0.26000000000000006;-0.011578295337099215;-0.08348976560675037
0.2700000000000001;-0.012990375416693642;-0.08803818176073198
0.2800000000000001;-0.014402290433318657;-0.09234652694709883
0.2900000000000001;-0.015778096627909428;-0.09640168745302904
0.3000000000000001;-0.01710878564740343;-0.10021481612662897
0.3100000000000001;-0.018359816827028787;-0.10376532070704526
0.3200000000000001;-0.01950690693524804;-0.1070395879947956
0.3300000000000001;-0.02055794485545027;-0.11001066029354377
0.34000000000000014;-0.021518016335268803;-0.11264050959307717
0.35000000000000014;-0.022409227155425086;-0.11500794884100023
0.36000000000000015;-0.023286108124085967;-0.11728360976535822
0.37000000000000016;-0.024174735127458775;-0.11949689106484389
0.38000000000000017;-0.025064615115983097;-0.1215738821541007
0.3900000000000002;-0.025946270493132906;-0.12349839909473809
0.4000000000000002;-0.026781309504540714;-0.12520619417466622
0.4100000000000002;-0.02753743519463302;-0.12663333171556848
0.4200000000000002;-0.028201617008839035;-0.1277932268293249
0.4300000000000002;-0.028736962670172308;-0.12870948030606552
0.4400000000000002;-0.029092365846846303;-0.12933804645365662
0.45000000000000023;-0.029224116486244775;-0.1295513303733658
0.46000000000000024;-0.029099900900389334;-0.12928220406915808
0.47000000000000025;-0.02871277305752954;-0.12856160467863287
0.48000000000000026;-0.02811125118837919;-0.12745593027320556
0.49000000000000027;-0.0273540766400867;-0.1260312542684915
0.5000000000000002;-0.02648434077569453;-0.12435527776159552
0.5100000000000002;-0.02554578742522008;-0.12248481457723549
0.5200000000000002;-0.024559020624152595;-0.12038901514445513
0.5300000000000002;-0.023537722261326527;-0.11802738070745245
0.5400000000000003;-0.02252259462349879;-0.11551853576307755
0.5500000000000003;-0.021532763229446444;-0.11296763637794788
0.5600000000000003;-0.020547465024798987;-0.11032272815160658
0.5700000000000003;-0.01955759056540078;-0.10754860187611635
0.5800000000000003;-0.018528476684505215;-0.10457697315894161
0.5900000000000003;-0.01741234335135981;-0.10130205142160456
0.6000000000000003;-0.01620790843655314;-0.0976925771240613
0.6100000000000003;-0.014930712320082183;-0.0937902195120083
0.6200000000000003;-0.013600004852280374;-0.08968736948245627
0.6300000000000003;-0.012245054375980259;-0.08540149667596857
0.6400000000000003;-0.010890200164723278;-0.08087409687116151
0.6500000000000004;-0.009563014623393947;-0.07612026630793965
0.6600000000000004;-0.008309998675271789;-0.07127137485336026
0.6700000000000004;-0.007164633954711632;-0.06644883523728713
0.6800000000000004;-0.006144587839368079;-0.061741753181366925
0.6900000000000004;-0.005257679023988983;-0.057258482583972536
0.7000000000000004;-0.004488069442870331;-0.05300764622503803
0.7100000000000004;-0.003813638982217974;-0.04886798278539358
0.7200000000000004;-0.0032227126041712807;-0.044790770603720345
0.7300000000000004;-0.002704017459966228;-0.04084967083456851
0.7400000000000004;-0.00224032321249156;-0.037064643121976125
0.7500000000000004;-0.001822706501593611;-0.03337334086469874
0.7600000000000005;-0.001448845418541502;-0.029704533896816886
0.7700000000000005;-0.0011086755112076339;-0.026001091362433146
0.7800000000000005;-0.0008014586793279984;-0.022272094238360428
0.7900000000000005;-0.0005436322006638764;-0.018591064170778993
0.8000000000000005;-0.00034586955077454913;-0.015062629091711738
0.8100000000000005;-0.00020831701101631567;-0.011859566768257291
0.8200000000000005;-0.00011807557387806597;-0.009021131977718143
0.8300000000000005;-6.406564098262824e-05;-0.006460133103391342
0.8400000000000005;-4.060572408019576e-05;-0.004246755990589475
0.8500000000000005;-3.0743453178601884e-05;-0.0024874256282239756
0.8600000000000005;-2.0787775771874673e-05;-0.0012138631679632073
0.8700000000000006;-1.0590003742482038e-05;-0.0004025232205160415
0.8800000000000006;-4.403799760601125e-06;1.2024355964648134e-05
0.8900000000000006;-3.3187171329697845e-06;0.00013591550651438535
0.9000000000000006;-1.7914606982621496e-06;0.0001027228657007161
0.9100000000000006;1.4219031954350913e-06;-5.5983091254528506e-05
0.9200000000000006;1.261494662095393e-06;-0.0004050882049172194
0.9300000000000006;-1.9622669872922213e-06;-0.0009994446298482163
0.9400000000000006;-5.552379064791671e-06;-0.0018060269567490377
